Longitude,Latitude,Depth (km),Length,Width,Strike,Dip,Rake,Slip,UnitSrc
120.97,1.99,14.29,13.22469,15.07883,99.5,21,81.152,9.1,acsza31
121.06,1.98,14.29,13.00477,14.89612,99.5,21,81.152,9.1,acsza31
121.16,1.96,14.29,12.78485,14.71342,99.5,21,81.152,9.1,acsza31
121.26,1.95,14.29,12.5557,14.65866,99.83,21,80.822,9.1,acsza31
121.36,1.93,14.29,12.32735,14.59272,99.96,21,80.692,9.1,acsza31
121.46,1.92,14.29,12.20865,12.88493,90.56,21,90.092,9.1,acsza31
121.56,1.92,14.29,11.99669,13.13843,88.13,21,92.522,9.1,acsza31
121.66,1.92,14.29,11.75329,13.3004,88.13,21,92.522,9.1,acsza31
121.76,1.93,14.29,11.50944,13.4606,88.14,21,92.512,9.1,acsza31
121.85,1.93,14.29,11.2652,13.62187,88.15,21,92.502,9.1,acsza31
121.95,1.93,14.29,11.18642,13.57852,90.13,21,90.522,9.1,acsza31
122.05,1.92,14.29,11.33524,14.62384,95.47,21,85.182,9.1,acsza31
122.15,1.91,14.29,11.57547,14.63226,95.47,21,85.182,9.1,acsza31
122.25,1.9,14.29,11.8157,14.64069,95.47,21,85.182,9.1,acsza31
122.35,1.89,14.29,11.83589,15.70304,101.56,21,79.092,9.1,acsza31
122.45,1.87,14.29,11.90921,16.3149,105.6,21,75.052,9.1,acsza31
122.54,1.84,14.29,12.11595,16.1557,105.6,21,75.052,9.1,acsza31
122.64,1.81,14.29,12.32268,15.9965,105.6,21,75.052,9.1,acsza31
122.73,1.79,14.29,12.52942,15.83729,105.6,21,75.052,9.1,acsza31
122.83,1.76,14.29,12.73616,15.67809,105.6,21,75.052,9.1,acsza31
122.93,1.73,14.29,12.9429,15.51889,105.6,21,75.052,9.1,acsza31
123.02,1.71,14.29,13.14963,15.35969,105.6,21,75.052,9.1,acsza31
123.12,1.68,14.29,13.35637,15.20049,105.6,21,75.052,9.1,acsza31
123.22,1.66,14.29,13.60589,14.90013,104.76,21,75.892,9.1,acsza31
123.31,1.63,14.29,13.86196,14.68886,103.9,21,76.752,9.1,acsza31
123.41,1.61,14.29,14.08436,14.7328,104.16,21,76.492,9.1,acsza31
123.51,1.58,14.29,14.33016,14.72893,104.16,21,76.492,9.1,acsza31
123.6,1.56,14.29,14.57596,14.72505,104.16,21,76.492,9.1,acsza31
123.7,1.53,14.29,14.74878,14.95833,105.58,21,75.072,9.1,acsza31
123.79,1.5,14.29,14.93466,15.09109,106.59,21,74.062,9.1,acsza31
123.89,1.48,14.29,15.16869,15.01585,106.54,21,74.112,9.1,acsza31
123.98,1.45,14.29,15.3971,14.94976,106.54,21,74.112,9.1,acsza31
124.08,1.42,14.29,15.6255,14.88368,106.54,21,74.112,9.1,acsza31
119.49,1.39,17.22,10.5839,22.39275,24.05,21,156.602,9.1,acsza31
119.53,1.48,17.22,10.92406,22.17629,27.48,21,153.172,9.1,acsza31
119.59,1.55,17.22,14.27432,19.26785,53.15,21,127.502,9.1,acsza31
119.67,1.6,17.22,14.52222,18.92232,56,21,124.652,9.1,acsza31
119.76,1.66,17.22,14.69641,18.52078,59.7,21,120.952,9.1,acsza31
119.84,1.71,17.22,14.48925,18.63701,59.7,21,120.952,9.1,acsza31
119.93,1.74,17.22,15.1253,16.06256,74.77,21,105.882,9.1,acsza31
120.02,1.76,17.22,15.38381,14.51591,82.85,21,97.802,9.1,acsza31
120.12,1.77,17.22,15.14172,14.50248,82.85,21,97.802,9.1,acsza31
120.22,1.78,17.22,14.938,13.94154,85.74,21,94.912,9.1,acsza31
120.31,1.79,17.22,14.70001,13.72297,86.46,21,94.192,9.1,acsza31
120.41,1.8,17.22,14.45107,13.62401,86.46,21,94.192,9.1,acsza31
120.51,1.8,17.22,14.20213,13.52505,86.46,21,94.192,9.1,acsza31
120.6,1.82,17.22,13.80091,14.6736,79.82,21,100.832,9.1,acsza31
120.7,1.84,17.22,13.51499,15.2118,77.27,21,103.382,9.1,acsza31
120.79,1.86,17.22,13.32266,15.08219,78.56,21,102.092,9.1,acsza31
120.89,1.87,17.22,13.12684,15.02883,80.1,21,100.552,9.1,acsza31
120.99,1.87,17.22,13.00477,14.89612,98.74,21,81.912,9.1,acsza31
121.08,1.86,17.22,12.78485,14.71342,98.74,21,81.912,9.1,acsza31
121.18,1.84,17.22,12.56493,14.53071,98.74,21,81.912,9.1,acsza31
121.27,1.83,17.22,12.33116,14.53993,99.41,21,81.242,9.1,acsza31
121.37,1.81,17.22,12.10091,14.50038,99.69,21,80.962,9.1,acsza31
121.47,1.8,17.22,11.96874,12.99452,91.15,21,89.502,9.1,acsza31
121.56,1.8,17.22,11.75329,12.97645,88.94,21,91.712,9.1,acsza31
121.66,1.8,17.22,11.50989,13.13843,88.94,21,91.712,9.1,acsza31
121.76,1.81,17.22,11.26582,13.29685,88.96,21,91.692,9.1,acsza31
121.86,1.81,17.22,11.02126,13.45566,88.99,21,91.662,9.1,acsza31
121.95,1.81,17.22,10.94349,13.70215,90.78,21,89.872,9.1,acsza31
122.05,1.8,17.22,11.09501,14.63226,95.64,21,85.012,9.1,acsza31
122.15,1.79,17.22,11.33524,14.64069,95.64,21,85.012,9.1,acsza31
122.24,1.78,17.22,11.57547,14.64911,95.64,21,85.012,9.1,acsza31
122.34,1.77,17.22,11.61669,15.60493,101.28,21,79.372,9.1,acsza31
122.44,1.75,17.22,11.70247,16.1557,105.09,21,75.562,9.1,acsza31
122.53,1.72,17.22,11.90921,15.9965,105.09,21,75.562,9.1,acsza31
122.62,1.7,17.22,12.11595,15.83729,105.09,21,75.562,9.1,acsza31
122.72,1.67,17.22,12.32268,15.67809,105.09,21,75.562,9.1,acsza31
122.81,1.65,17.22,12.52942,15.51889,105.09,21,75.562,9.1,acsza31
122.91,1.62,17.22,12.73616,15.35969,105.09,21,75.562,9.1,acsza31
123,1.6,17.22,12.9429,15.20049,105.08,21,75.572,9.1,acsza31
123.1,1.57,17.22,13.14963,15.04129,105.08,21,75.572,9.1,acsza31
123.19,1.55,17.22,13.3944,14.75857,104.32,21,76.332,9.1,acsza31
123.28,1.52,17.22,13.62787,14.63716,103.93,21,76.722,9.1,acsza31
123.38,1.5,17.22,13.83856,14.72893,104.45,21,76.202,9.1,acsza31
123.47,1.47,17.22,14.08436,14.72505,104.45,21,76.202,9.1,acsza31
123.57,1.45,17.22,14.33016,14.72118,104.45,21,76.202,9.1,acsza31
123.66,1.42,17.22,14.51109,14.92481,105.74,21,74.912,9.1,acsza31
123.76,1.4,17.22,14.70345,15.03415,106.65,21,74.002,9.1,acsza31
123.85,1.37,17.22,14.94029,14.94976,106.55,21,74.102,9.1,acsza31
123.94,1.34,17.22,15.16869,14.88368,106.55,21,74.102,9.1,acsza31
124.04,1.31,17.22,15.3971,14.81759,106.55,21,74.102,9.1,acsza31
119.55,1.28,20.82,10.47134,22.18379,23.96,21,156.692,9.1,acsza31
119.59,1.36,20.82,10.74683,22.0205,27.02,21,153.632,9.1,acsza31
119.65,1.43,20.82,13.92784,19.23894,52.15,21,128.502,9.1,acsza31
119.72,1.49,20.82,14.36273,18.73213,56.38,21,124.272,9.1,acsza31
119.8,1.54,20.82,14.48925,18.40456,59.68,21,120.972,9.1,acsza31
119.89,1.59,20.82,14.28209,18.52078,59.68,21,120.972,9.1,acsza31
119.97,1.62,20.82,14.85022,16.15655,73.88,21,106.772,9.1,acsza31
120.06,1.64,20.82,15.14172,14.52934,82.62,21,98.032,9.1,acsza31
120.16,1.66,20.82,14.89964,14.51591,82.62,21,98.032,9.1,acsza31
120.25,1.67,20.82,14.69043,14.02341,85.2,21,95.452,9.1,acsza31
120.35,1.67,20.82,14.45107,13.82193,85.85,21,94.802,9.1,acsza31
120.44,1.68,20.82,14.20213,13.72297,85.85,21,94.802,9.1,acsza31
120.54,1.69,20.82,13.95319,13.62401,85.85,21,94.802,9.1,acsza31
120.63,1.7,20.82,13.57373,14.61662,79.91,21,100.742,9.1,acsza31
120.73,1.72,20.82,13.2962,15.09467,77.63,21,103.022,9.1,acsza31
120.82,1.74,20.82,13.11269,14.8417,79.61,21,101.042,9.1,acsza31
120.91,1.75,20.82,12.91915,14.77242,81.27,21,99.382,9.1,acsza31
121.01,1.75,20.82,12.78485,14.71342,97.95,21,82.702,9.1,acsza31
121.1,1.74,20.82,12.56493,14.53071,97.95,21,82.702,9.1,acsza31
121.19,1.73,20.82,12.34501,14.34801,97.95,21,82.702,9.1,acsza31
121.29,1.71,20.82,12.10663,14.4212,98.98,21,81.672,9.1,acsza31
121.38,1.7,20.82,11.87447,14.40804,99.4,21,81.252,9.1,acsza31
121.48,1.69,20.82,11.72883,13.10412,91.77,21,88.882,9.1,acsza31
121.57,1.69,20.82,11.50989,12.93794,89.79,21,90.862,9.1,acsza31
121.67,1.69,20.82,11.26649,13.09991,89.79,21,90.862,9.1,acsza31
121.76,1.69,20.82,11.02219,13.26366,89.82,21,90.832,9.1,acsza31
121.86,1.69,20.82,10.77733,13.42987,89.86,21,90.792,9.1,acsza31
121.95,1.68,20.82,10.70056,13.82579,91.47,21,89.182,9.1,acsza31
122.05,1.68,20.82,10.85478,14.64069,95.81,21,84.842,9.1,acsza31
122.14,1.67,20.82,11.09501,14.64911,95.81,21,84.842,9.1,acsza31
122.24,1.66,20.82,11.33524,14.65754,95.81,21,84.842,9.1,acsza31
122.33,1.64,20.82,11.3975,15.50682,100.99,21,79.662,9.1,acsza31
122.42,1.62,20.82,11.49574,15.9965,104.55,21,76.102,9.1,acsza31
122.52,1.6,20.82,11.70247,15.83729,104.55,21,76.102,9.1,acsza31
122.61,1.58,20.82,11.90921,15.67809,104.55,21,76.102,9.1,acsza31
122.7,1.55,20.82,12.11595,15.51889,104.55,21,76.102,9.1,acsza31
122.79,1.53,20.82,12.32268,15.35969,104.55,21,76.102,9.1,acsza31
122.89,1.51,20.82,12.52942,15.20049,104.54,21,76.112,9.1,acsza31
122.98,1.48,20.82,12.73616,15.04129,104.54,21,76.112,9.1,acsza31
123.07,1.46,20.82,12.9429,14.88208,104.54,21,76.112,9.1,acsza31
123.16,1.44,20.82,13.18291,14.61701,103.86,21,76.792,9.1,acsza31
123.26,1.41,20.82,13.39377,14.58547,103.96,21,76.692,9.1,acsza31
123.35,1.39,20.82,13.59276,14.72505,104.76,21,75.892,9.1,acsza31
123.44,1.37,20.82,13.83856,14.72118,104.76,21,75.892,9.1,acsza31
123.53,1.34,20.82,14.08436,14.7173,104.76,21,75.892,9.1,acsza31
123.62,1.32,20.82,14.2734,14.89129,105.91,21,74.742,9.1,acsza31
123.72,1.29,20.82,14.47223,14.97722,106.71,21,73.942,9.1,acsza31
123.81,1.26,20.82,14.71189,14.88368,106.55,21,74.102,9.1,acsza31
123.9,1.23,20.82,14.94029,14.81759,106.55,21,74.102,9.1,acsza31
123.99,1.21,20.82,15.16869,14.7515,106.55,21,74.102,9.1,acsza31
119.6,1.16,25.1,10.35879,21.97482,23.87,21,156.782,9.1,acsza31
119.64,1.25,25.1,10.5696,21.86471,26.54,21,154.112,9.1,acsza31
119.7,1.32,25.1,13.58136,19.21004,51.09,21,129.562,9.1,acsza31
119.77,1.37,25.1,14.20324,18.54193,56.77,21,123.882,9.1,acsza31
119.85,1.42,25.1,14.28209,18.28833,59.66,21,120.992,9.1,acsza31
119.93,1.47,25.1,14.07493,18.40456,59.66,21,120.992,9.1,acsza31
120.02,1.5,25.1,14.57515,16.25054,72.95,21,107.702,9.1,acsza31
120.1,1.52,25.1,14.89964,14.54278,82.38,21,98.272,9.1,acsza31
120.2,1.54,25.1,14.65755,14.52934,82.38,21,98.272,9.1,acsza31
120.29,1.55,25.1,14.44286,14.10528,84.64,21,96.012,9.1,acsza31
120.38,1.56,25.1,14.20213,13.92089,85.21,21,95.442,9.1,acsza31
120.48,1.56,25.1,13.95319,13.82193,85.21,21,95.442,9.1,acsza31
120.57,1.57,25.1,13.70425,13.72297,85.21,21,95.442,9.1,acsza31
120.66,1.58,25.1,13.34655,14.55964,80,21,100.652,9.1,acsza31
120.75,1.6,25.1,13.07741,14.97754,78,21,102.652,9.1,acsza31
120.84,1.62,25.1,12.90272,14.6012,80.71,21,99.942,9.1,acsza31
120.93,1.63,25.1,12.71146,14.51601,82.51,21,98.142,9.1,acsza31
121.03,1.63,25.1,12.56493,14.53071,97.11,21,83.542,9.1,acsza31
121.12,1.62,25.1,12.34501,14.34801,97.11,21,83.542,9.1,acsza31
121.21,1.61,25.1,12.12509,14.1653,97.11,21,83.542,9.1,acsza31
121.3,1.6,25.1,11.88209,14.30246,98.52,21,82.132,9.1,acsza31
121.4,1.58,25.1,11.64803,14.3157,99.1,21,81.552,9.1,acsza31
121.49,1.57,25.1,11.48893,13.21371,92.42,21,88.232,9.1,acsza31
121.58,1.57,25.1,11.26649,13.0614,90.68,21,89.972,9.1,acsza31
121.67,1.57,25.1,11.02309,13.22337,90.68,21,89.972,9.1,acsza31
121.77,1.57,25.1,10.77857,13.39421,90.72,21,89.932,9.1,acsza31
121.86,1.57,25.1,10.5334,13.57031,90.77,21,89.882,9.1,acsza31
121.95,1.56,25.1,10.45762,13.94942,92.18,21,88.472,9.1,acsza31
122.05,1.56,25.1,10.61455,14.64911,95.99,21,84.662,9.1,acsza31
122.14,1.55,25.1,10.85478,14.65754,95.99,21,84.662,9.1,acsza31
122.23,1.54,25.1,11.09501,14.66596,95.99,21,84.662,9.1,acsza31
122.32,1.52,25.1,11.1783,15.40871,100.69,21,79.962,9.1,acsza31
122.41,1.5,25.1,11.289,15.83729,103.98,21,76.672,9.1,acsza31
122.5,1.48,25.1,11.49574,15.67809,103.98,21,76.672,9.1,acsza31
